state,rMapState,rMapCounty,month,day,year,age,sex,repstat,mass,fa,Pd_intro,years_Pd,disease_time_step,county_centroid_lon,county_centroid_lat,site_mask,fips
GA,georgia,chattooga,5,29,2013,adult,male,testes-descended,17,48,2013,0,invasion,-85.34986264,34.46255073,GA_50,13055
GA,georgia,carroll,5,30,2013,adult,male,non-reproductive,15,47,2013,0,invasion,-85.08566727,33.57598073,GA_39,13045
GA,georgia,gordon,5,20,2013,adult,female,pregnant,25,49,2013,0,invasion,-84.89193294,34.49171872,GA_124,13129
GA,georgia,gordon,5,20,2013,adult,female,pregnant,23.75,46,2013,0,invasion,-84.89193294,34.49171872,GA_124,13129
GA,georgia,gordon,5,21,2013,adult,female,pregnant,26.5,48,2013,0,invasion,-84.89193294,34.49171872,GA_124,13129
GA,georgia,gordon,5,20,2013,adult,female,pregnant,20.5,44,2013,0,invasion,-84.89193294,34.49171872,GA_124,13129
GA,georgia,paulding,8,12,2013,adult,female,non-reproductive,18,47,2013,0,invasion,-84.87767568,33.91093384,GA_188,13223
GA,georgia,paulding,8,5,2013,adult,male,testes-descended,16,48,2013,0,invasion,-84.87767568,33.91093384,GA_188,13223
GA,georgia,paulding,8,4,2013,adult,male,non-reproductive,16,49,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,1,2013,juvenile,male,non-reproductive,14,45,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,3,2013,adult,male,non-reproductive,15,48,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,3,2013,juvenile,female,non-reproductive,19,48,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,7,27,2013,adult,male,testes-descended,14,46,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,3,2013,adult,female,non-reproductive,19.5,49,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,9,2013,adult,male,testes-descended,14.5,48,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,3,2013,juvenile,female,non-reproductive,19,48,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,7,28,2013,juvenile,female,non-reproductive,15,48,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,3,2013,adult,female,pregnant,20.75,50,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,7,29,2013,juvenile,male,non-reproductive,15,46,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,4,2013,adult,male,testes-descended,15.5,50,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,10,2013,adult,male,testes-descended,17,49,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,8,3,2013,adult,female,non-reproductive,20.25,51,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,paulding,7,28,2013,adult,female,post-lactating,24,49,2013,0,invasion,-84.87767568,33.91093384,GA_190,13223
GA,georgia,fannin,7,27,2010,adult,female,non-reproductive,18,48,2013,-3,pre-invasion,-84.33604378,34.85625252,GA_91,13111
GA,georgia,fannin,7,27,2010,adult,female,non-reproductive,20.5,48,2013,-3,pre-invasion,-84.33604378,34.85625252,GA_91,13111
GA,georgia,floyd,8,5,2013,adult,female,pregnant,12,47,2013,0,invasion,-85.22545302,34.24745188,GA_98,13115
GA,georgia,floyd,8,11,2013,adult,male,testes-descended,15,44,2013,0,invasion,-85.22545302,34.24745188,GA_98,13115
GA,georgia,floyd,8,5,2013,adult,male,testes-descended,12,45,2013,0,invasion,-85.22545302,34.24745188,GA_98,13115
GA,georgia,floyd,8,5,2013,adult,male,non-reproductive,16,46,2013,0,invasion,-85.22545302,34.24745188,GA_98,13115
GA,georgia,floyd,8,6,2013,adult,male,testes-descended,16,44,2013,0,invasion,-85.22545302,34.24745188,GA_98,13115
GA,georgia,floyd,8,9,2013,adult,female,non-reproductive,18.5,49,2013,0,invasion,-85.22545302,34.24745188,GA_98,13115
GA,georgia,cherokee,6,12,2013,adult,female,lactating,24,49,2013,0,invasion,-84.48371602,34.2400035,GA_62,13057
GA,georgia,cherokee,6,12,2013,adult,female,lactating,22,49,2013,0,invasion,-84.48371602,34.2400035,GA_62,13057
GA,georgia,cobb,7,13,2013,adult,female,pregnant,25,48,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,cobb,7,14,2013,juvenile,female,non-reproductive,20,48,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,cobb,7,13,2013,adult,male,testes-descended,16,46,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,cobb,7,14,2013,juvenile,female,non-reproductive,15,50,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,cobb,7,13,2013,juvenile,male,non-reproductive,16,47,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,cobb,7,13,2013,adult,female,pregnant,17,49,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,cobb,7,13,2013,adult,female,lactating,21,49,2013,0,invasion,-84.59204242,33.93685037,GA_68,13067
GA,georgia,bartow,7,23,2013,adult,female,post-lactating,19,47,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,7,24,2013,adult,female,post-lactating,24,51,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,7,26,2013,adult,male,testes-descended,16,45,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,7,24,2013,adult,male,testes-descended,15,47,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,7,26,2013,adult,male,testes-descended,16.5,46,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,7,23,2013,juvenile,male,non-reproductive,15,49,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,7,24,2013,adult,female,post-lactating,17,49,2013,0,invasion,-84.85525287,34.22976581,GA_12,13015
GA,georgia,bartow,6,7,2013,adult,female,pregnant,21.5,49,2013,0,invasion,-84.85525287,34.22976581,GA_14,13015
GA,georgia,bartow,5,29,2013,adult,female,non-reproductive,19.75,47,2013,0,invasion,-84.85525287,34.22976581,GA_14,13015
GA,georgia,bartow,5,30,2013,adult,female,non-reproductive,19.8,46,2013,0,invasion,-84.85525287,34.22976581,GA_14,13015
GA,georgia,bartow,5,30,2013,adult,female,pregnant,29.8,49,2013,0,invasion,-84.85525287,34.22976581,GA_14,13015
GA,georgia,bartow,6,7,2013,adult,female,pregnant,20,49,2013,0,invasion,-84.85525287,34.22976581,GA_14,13015
GA,georgia,floyd,6,25,2013,juvenile,male,non-reproductive,15,50,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,floyd,6,24,2013,adult,female,lactating,22,48,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,floyd,6,24,2013,adult,female,lactating,17.5,51,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,floyd,6,25,2013,adult,female,pregnant,21,48,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,floyd,6,24,2013,adult,male,testes-descended,16,46,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,floyd,6,24,2013,adult,male,testes-descended,15,42,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,floyd,6,25,2013,adult,male,testes-descended,17,48,2013,0,invasion,-85.22545302,34.24745188,GA_95,13115
GA,georgia,cherokee,6,25,2013,adult,male,testes-descended,17.5,46,2013,0,invasion,-84.48371602,34.2400035,GA_59,13057
GA,georgia,chattooga,8,3,2013,adult,male,non-reproductive,18,46,2013,0,invasion,-85.34986264,34.46255073,GA_52,13055
GA,georgia,walker,7,2,2015,juvenile,male,non-reproductive,16,48,2013,2,epidemic,-85.29841149,34.72315853,GA_241,13295
GA,georgia,bartow,7,17,2016,adult,female,post-lactating,20,49,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
GA,georgia,bartow,7,17,2016,adult,female,non-reproductive,19.5,49,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
GA,georgia,bartow,7,17,2016,juvenile,male,non-reproductive,14.5,45,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
GA,georgia,bartow,7,15,2016,adult,male,non-reproductive,14.5,43,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
GA,georgia,bartow,7,17,2016,juvenile,male,non-reproductive,14,46,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
GA,georgia,bartow,7,17,2016,juvenile,male,non-reproductive,14,47,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
GA,georgia,bartow,7,17,2016,juvenile,male,non-reproductive,14.5,45,2013,3,epidemic,-84.85525287,34.22976581,GA_11,13015
